id,name,description,vs,cb_tag,ai_score,ai_mentioned,llm_ai_verified,bucket,ref_label,ref_unsure
79042,Velisa Africa Academy,"Velisa Arica Academy provides youth work-readiness programmes in the Media and Information Communications and Technology (MICT) sectors. The Velisa Africa Academy was developed to deliver sound, expert and practical training in the areas of Business Internships and Learnerships, as well as skills programs and personal development. Their core business lies within the Information and Communication Technologies (ICT) sector where they provide comprehensive training initiatives for the Data Centre environment including those technologies allied to the Data Centre.  They partner with international and local product vendors, businesses, Governments and individuals in addressing the skills shortage in the ICT sector. Their activities cater for both the South African and the broader African market segments and offers a unique value proposition to all participants, providing a trustworthy and reliable pipeline of skilled ICT resources for the market and solid, experiential, all-rounded workplace-readiness training programmes for IT graduates entering the market.  Their programmes and training initiatives are managed within the framework of the SA Government mandated B-BBEE and social development initiatives, and through their value added services, they aid companies in achieving their B-BBEE score card objectives and social development mandates. Velisa Africa Academy is a MICT SETA accredited, Level 2 QSE, 51% black-owned, 31% black female-owned training provider and is thereby a useful supplier in terms of all elements of the B-BBEE scorecard.",verified_cb,False,0.0,False,,Commercial A,0.0,False
241361,Tzekwan,"Tzekwan engages in the research, development, and technical support of financial equipment, biological, and software products. Tzekwan is a supplier of financial equipment. They engaged in the research, development, and technical support of financial equipment, biotech products, and software products.",verified_cb,False,0.0,False,,Commercial A,0.0,False
552871,Mighty Machines,"Mighty Machines is a manufacturer of CNC machine parts, crusher machine parts and precision machine components. nan",verified_cb,False,0.0,False,,Commercial A,0.0,False
646434,ClimeNow,ClimeNow aids ClimateTech growth with strategy execution and operating model design. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
414859,BZ,"BZ is an information technology company that provides cloud, IT management, programming, and telecommunications services. nan",verified_cb,False,0.0,False,,Commercial A,0.0,False
590120,Media Cannibal,"Media Cannibal is an AI-enhanced digital marketing agency offering social media marketing, website design, and digital marketing solutions. Media Cannibal is an AI-enhanced digital marketing agency that focuses on transforming businesses through innovative strategies. The company offers a full range of services including social media marketing, website design, and digital marketing solutions. Media Cannibal also provides insightful articles, industry trends, and inspiration on digital marketing, design, and innovation through its blog.",verified_cb,True,0.2,False,,Commercial A,0.0,False
398677,Cloud9 Consulting,"Cloud9 Consulting provides strategy, process improvement, business transformation, organizational change, and program management to clients. Cloud9 Consulting provides business and technology consulting services to companies and government agencies. For key business and technology initiatives, the company offers both strategy and implementation services. The firm is expertise in the area of digital and cloud technology, strategy and transformation, project management and business architecture.",verified_cb,False,0.0,False,,Commercial A,0.0,False
291336,Pennonsoft,Pennonsoft is an online training firm that provide you with excellent IT online training programs that will be well worth your time. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
536634,Shree Shyam Trading Company,Shree Shyam Trading Company is a trader and importer of industrial chemicals and powders. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
115298,InquisIT LLC,InquisIT is an information technology company specializing in cyber security and software support services. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
187919,Yuanda Robotics,Yuanda Robotics is develop robots that are as approachable as an ordinary tool and as easy to use as a smartphone. Yuanda Robotics is develop robots that are as approachable as an ordinary tool and as easy to use as a smartphone.,verified_cb,False,0.0,False,,Commercial A,0.0,False
244750,THE STEERING,"Software enabling autonomous car shipping Highlighted in the 69 list of autonomous startups worth investment, Miami based, female founded The Steering develops, markets and operates an autonomous car shipping software - platform and app - which manages a full cycle of car transportation process online.   Shipper app allows individual and corporate customers to submit car shipping requests that are routed to the system registered drivers.  Shippers enjoy end-to-end car delivery transaction fully online with ETA, payment processing and other useful SAAS features.  Carrier application allows to manage vehicle loads, conduct billing, generate reports and documentation.   Patented Route Configuration Engine and Vehicle Load Calculator enable car hauling trucks to pick up available vehicles along the route while factoring in the characteristics of the specific trailer.  These tools empower the opportunity for autonomous car shipping trucks.",verified_cb,False,0.0,False,,Commercial A,1.0,False
201209,Instrutrónica,Instrutrónica offers you a solution to monitor and control your systems remotely. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
460868,MailHippo,HIPAA Compliant Email & Online Forms MailHippo provides a number of HIPAA compliant technology products for healthcare providers.  These include encrypted email messaging and online forms.,verified_cb,False,0.0,False,,Commercial A,0.0,False
197854,Inside Parts,"Inside Parts is an IT firm that offers services and solutions for web design, hosting, cloud solutions, software, hardware, and webshop. nan",verified_cb,False,0.0,False,,Commercial A,0.0,False
413490,300.000 Km/s,"300.000 Km/s is an urban planning agency that provides consulting, data analysis, and design services for urban and territorial diagnosis. nan",verified_cb,False,0.0,False,,Commercial A,0.0,False
418431,Pixels In Stereo,"Pixels In Stereo is a consultancy that offers business development strategies, UX design, and chatbot and Voice bot conversation design. nan",verified_cb,False,0.0,False,,Commercial A,0.0,False
326929,Point Taken,Point Taken specializes in digital transformation and collaboration consulting services. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
1602413,Mechanical and AI Lab,"Mechanical and AI Lab offers algorithms and tools to learn, infer, and predict the physical phenomena pertinent to mechanical engineering. They focuses on the problems at the interface of mechanical engineering and data science. They bring together researchers with different backgrounds and interests, including mechanical, computer science, bio-engineering, physics, material, and chemical engineering.",verified_cb,False,0.9,True,,Commercial A,1.0,False
418098,Yeastime,"Yeastime's value proposition is its innovative retrofitting ultrasound technology, which accelerates fermentation by up to 30%. Yeastime's value proposition is its innovative retrofitting ultrasound technology, which accelerates fermentation by up to 30%. This groundbreaking approach not only boosts efficiency but also represents a significant leap forward in food technology, setting Yeastime apart as a true pioneer in the field.",verified_cb,False,0.0,False,,Commercial A,0.0,False
84414,MoWeb Media,"Focusing on the future’s sophistication on all things digital & connecting brands to their audiences by technology, creativity and marketing MoWeb Media is a digital marketing agency that focuses on today’s technologies and the future’s sophistication on all things digital, providing solutions of connecting companies and brands to their audiences through technology, creativity, branding and marketing. The Moroccan based agency is specialized on serving some of the most luxurious national brands in the country, the digital marketing agency is now managing companies from different industries while still maintaining the quality work for the high-end brands. Our approach is based on two words: Brands & Culture. Since the agency is always putting culture first in order to be able to deliver great deliverables on business, Our mission is to deliver the right messaging and communications by using attention that can tap into culture and that can make genuine interactions with our brands in the long term.",verified_cb,False,0.0,False,,Commercial A,0.0,False
223141,code-in-motion,code-in-motion provides equipment and custom integrated solutions for manufacturing needs. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
36492,Cyfeon Solutions,"Cyfeon Solutions provides data optimization solutions to help analyze, optimize, automate, and control business processes. Cyfeon Solutions is a business solutions company that correlates disparate and copious amounts of data and present that collective information in a usable way. They specialize in analysis, data profiling and modeling; and anomaly detection. It provides front office tools for back office management.  They develop answer factory: a multi-sourced, data analytics, and action platform that unites a company’s internal data with the world's external data to improve decision making. The company delivers business solutions on top of big data and other data sources to improve answer quality. It also offers automated compliance for financial services. Cyfeon Solutions was founded by Brandon Smith in 2011 in Austin, Texas.",verified_cb,False,0.0,False,,Commercial A,1.0,False
192915,Pay4Sale,Pay4Sale develops a concept that makes the website a unique sales device and deals with all internet marketing. nan,verified_cb,False,0.0,False,,Commercial A,0.0,False
